RCAB,Code,Name,Start Date,End Date,Status
TVET,1,Office of the Student Identifiers Registrar,5-Nov-14,,Current
NSW VETAB,20,Tourism Training Australia,1-Jan-98,28-May-02,Non-Current
ASQA,22,Adelaide Training and Employment Centre Inc,28-Oct-13,27-Oct-18,Current
ASQA,29,Australian Taxation Office,1-Jan-93,30-Jun-15,Cancelled
Tas TQA,32,Adult Migrant English Service,1-Jan-93,1-Jun-98,Non-Current
Vic VRQA,33,Pilkington (Australia) Ltd,1-May-94,24-Mar-09,Non-Current
Vic VRQA,34,Creative Informatics Pty Ltd,1-May-98,31-May-03,Non-Current
ASQA,36,Transport Training Centre Inc (in Liquidation),31-Dec-14,30-Dec-19,Current
WA TAC,38,Adam Voak,12-Dec-96,30-Sep-14,Non-Current
QLD DETE,39,Jubilee International Christian College Ltd,1-Jan-98,31-Dec-01,Non-Current
NSW VETAB,43,Whitehouse Investments Australia Pty Ltd,23-Sep-96,30-Aug-07,Non-Current
NSW VETAB,46,Metropolitan College of Australia,12-Aug-94,6-May-02,Non-Current
WA TAC,47,Balga Job Link,25-Mar-94,31-Dec-99,Non-Current
ASQA,49,Australian Institute of Management Education and Training,29-Jun-12,31-Dec-16,Current
ASQA,50,Australian Army,1-Dec-13,30-Nov-18,Current
WA TAC,55,Beaufort College,26-Mar-93,31-Dec-98,Non-Current
WA TAC,56,Australia PCC Pty Ltd,1-Aug-02,30-Sep-07,Cancelled
WA TAC,57,Catona Pty Ltd,9-Nov-95,31-Jul-09,Non-Current
ASQA,58,Australian Institute of Management HRD Inc,31-Aug-12,30-Aug-17,Current
WA TAC,61,WESTN Employment Services (Whitfords),22-Apr-94,31-Dec-99,Non-Current
ASQA,64,The University of Notre Dame Australia,1-Jun-14,31-May-19,Current
ASQA,67,Harvest Bible College Ltd,1-Mar-13,28-Feb-18,Current
ASQA,71,VOCATIONAL EDUCATION AND TRAINING (MIIT),1-Oct-12,30-Sep-17,Current
QLD DETE,73,Queensland Breweries Pty Ltd,1-Jan-98,3-Jun-01,Non-Current
QLD DETE,77,Kelly Business College Pty Ltd,1-Jan-98,30-May-06,Non-Current
QLD DETE,78,Campion College Pty Ltd,1-Jan-98,24-Jun-08,Non-Current
ASQA,80,Heather Langton Pty Ltd,1-Jul-13,30-Jun-18,Current
ASQA,83,TAFE Queensland,1-Mar-13,28-Feb-18,Current
QLD DETE,85,VOCATIONAL EDUCATION AND TRAINING,1-Jan-98,30-Sep-07,Non-Current
QLD DETE,94,Bridging the Gap Job Help Gold Coast Inc,1-Jan-98,30-Jul-07,Non-Current
ASQA,95,Cairns Business College Pty Ltd,29-Jun-12,16-Jan-17,Current
WA TAC,97,WA Fire & Rescue Service,25-Feb-94,31-Dec-99,Non-Current
ASQA,101,Canberra Institute of Technology,1-Jul-11,1-Apr-17,Current
SA DFEEST,103,Australia Post (SA/NT),1-Jan-93,31-Jan-00,Non-Current
ASQA,104,CAREER EMPLOYMENT AUSTRALIA INCORPORATED,22-Aug-12,21-Aug-17,Current
ASQA,107,NSW TAFE Commission,7-May-97,6-May-02,Non-Current
Vic VRQA,108,KODAK (Australasia) Pty Ltd,1-Nov-97,30-Nov-04,Non-Current
ASQA,109,Australian College of the Arts Pty Ltd,1-Aug-15,31-Jul-22,Current
ASQA,111,Photography Holdings Pty Ltd,1-May-15,30-Apr-20,Current
QLD DETE,112,Innisfail Skillshare Centre,1-Jan-98,10-Oct-00,Non-Current
Vic VRQA,113,Brotherhood of St Laurence,1-Jan-93,31-Jan-20,Current
WA TAC,114,Laurielee Pty Ltd,25-Jan-12,31-Jan-17,Current
ASQA,115,Impact Community Services Inc,1-Oct-15,30-Sep-22,Current
ASQA,117,Ford Motor Company of Australia Ltd,1-Dec-14,30-Nov-19,Current
ASQA,118,Community Agency for Development Employment and Training Inc,29-Jun-12,31-Jul-16,Current
WA TAC,122,Industry and Vocational Enterprise Centre (IVEC),21-May-93,31-Dec-98,Non-Current
ASQA,127,North East Region Training Association Incorporated,7-Apr-14,30-Sep-18,Current
WA TAC,130,Langford Skillshare,21-May-93,31-Dec-98,Non-Current
WA TAC,131,"Wearne Training Centre, The (Employment 2000 Skillshare)",14-Mar-97,31-Dec-98,Non-Current
WA TAC,132,Maylands Skilltrain,30-Sep-94,31-Dec-00,Non-Current
WA TAC,133,Northsyde Employment and Training Scheme Inc,20-Dec-96,30-May-97,Cancelled
WA TAC,134,Rockingham Skillshare,21-May-93,31-Dec-98,Non-Current
WA TAC,136,Arnica Holdings Pty Ltd,10-Aug-93,30-Oct-07,Non-Current
ASQA,137,ASHT Pty Ltd,1-Mar-13,28-Feb-18,Current
SA DFEEST,138,Department of Social Security (SA),1-Jan-94,30-Jun-99,Non-Current
SA DFEEST,140,The Perfect Fit Pty Ltd,31-Jul-01,1-Aug-03,Non-Current
SA DFEEST,141,Hyde Park College of Beauty Therapy & Cosmetology Pty Ltd,29-Jul-03,29-Jul-08,Non-Current
ASQA,142,Chabad Institutions of Australia Inc,1-Mar-13,28-Feb-18,Current
Vic VRQA,143,Australian Maritime Safety Authority (QLD),1-Mar-97,31-Mar-00,Non-Current
ASQA,145,BAPTIST UNION OF WA INCORPORATED,22-Jan-13,21-Jan-18,Current
WA TAC,149,Retail Skills Centre WA Inc,15-Feb-01,30-Jun-04,Non-Current
ASQA,150,Royal Australian Navy,1-Jun-14,31-May-19,Current
Vic VRQA,152,PMP Communications Limited,1-Jun-97,30-Jun-05,Non-Current
WA TAC,153,Modallin Pty Ltd trading as Australian Learning Academy,16-Nov-00,31-Dec-03,Non-Current
ASQA,156,TexSkill Limited,1-Apr-14,31-Mar-19,Current
SA DFEEST,158,"Writing Room, The",12-Jan-93,30-Jun-99,Non-Current
QLD DETE,160,C. & N. Buchanan Pty. Ltd. as trustee for The Buchanan Trust,1-Jan-98,29-Feb-08,Non-Current
